program	description	title	author	real_name	source_url	kind	section	tags	collection	series
adventure/brodyaga.txt	adventure/brodyaga.md	brodyaga	Михаил Храмов	Евгений Кузниченко	https://lordbss.narod.ru/pmk28.html	game	adventure	classic	lordbss	
adventure/cave.txt	adventure/cave.md	Cave	illi4		https://habr.com/ru/articles/125484/	game	adventure			
adventure/colis-secret-base-dolgushin-notebook-2.txt	adventure/colis-secret-base-dolgushin-notebook-2.md	COLiS: SECRET BASE	Александр Долгушин		https://vk.com/wall-115251268_126; ручная перепечатка пользователя из второй тетради Александра Долгушина "Мои игры МК-61", программа 61	game	adventure	manuscript	dolgushin-notebook	
adventure/dolina.txt	adventure/dolina.md	dolina	А. Н. Гришин, Владимир Трофимчук		https://lordbss.narod.ru/pmk223.html	game	adventure	classic	lordbss	
adventure/dracula-dolgushin-notebook.txt	adventure/dracula-dolgushin-notebook.md	DRACULA	Александр Долгушин		https://vk.com/wall-115251268_97; тетрадь Александра Долгушина "Мои игры МК-61", Рисунок (84).jpg; Рисунок (85).jpg; Рисунок (86).jpg; Рисунок (97).jpg: указание авторства	game	adventure	horror;manuscript	dolgushin-notebook	
adventure/dungeon.txt	adventure/dungeon.md	Dungeon	С. Андрианов		https://lordbss.narod.ru/pmk164.html	game	adventure	classic	lordbss	
adventure/dzhoy.txt	adventure/dzhoy.md	dzhoy	Владимир Молоканов, Владимир Трофимчук		https://lordbss.narod.ru/pmk75.html	game	adventure	classic	lordbss	
adventure/dzhungli-2.txt	adventure/dzhungli-2.md	dzhungli-2	Сергей Чурсанов	Евгений Кузниченко	https://lordbss.narod.ru/pmk182.html	game	adventure	classic	lordbss	jungle
adventure/dzhungli.txt	adventure/dzhungli.md	dzhungli	Сергей Чурсанов	Евгений Кузниченко	https://lordbss.narod.ru/pmk181.html	game	adventure	classic	lordbss	jungle
adventure/elfy.txt	adventure/elfy.md	elfy	Владимир Трофимчук	Евгений Кузниченко	https://lordbss.narod.ru/pmk64.html	game	adventure	classic;fantasy	lordbss	
adventure/encircled-with-fantoms.txt	adventure/encircled-with-fantoms.md	Encircled With Fantoms	Сергей Устюгов	Евгений Кузниченко	https://lordbss.narod.ru/pmk02.html	game	adventure	classic	lordbss	
adventure/fantastika.txt	adventure/fantastika.md	fantastika	Владимир Трофимчук	Евгений Кузниченко	https://lordbss.narod.ru/pmk102.html	game	adventure	classic;fantasy	lordbss	
adventure/for-kicks-i.txt	adventure/for-kicks-i.md	For Kicks-I	Евгений Кузниченко	Евгений Кузниченко	https://lordbss.narod.ru/pmk91.html	game	adventure	classic	lordbss	for-kicks
adventure/for-kicks-ii.txt	adventure/for-kicks-ii.md	For Kicks-II	Евгений Кузниченко	Евгений Кузниченко	https://lordbss.narod.ru/pmk92.html	game	adventure	classic	lordbss	for-kicks
